"id","chart_template_id/id","name","sequence","vat_required","auto_apply","country_id:id","country_group_id:id"
"gd_fp_do","gd_chart","Domačipartner",1,1,1,base.si,
"gd_fp_do1","gd_chart","ZasebnoEU",2,0,1,,base.europe
"gd_fp_eu","gd_chart","PartnerEU",3,1,1,,base.europe
"gd_fp_ne","gd_chart","PartnerizvenEU/EUbrezDŠ",4,0,1,,
