"name","chart_template_id:id","id","sequence","auto_apply","vat_required","country_id:id","country_group_id:id","note"
"Italia","l10n_it_chart_template_generic","it",1,1,1,base.it,,
"RegimeExtracomunitario","l10n_it_chart_template_generic","extra",4,1,,,,
"RegimeIntracomunitarioprivato","l10n_it_chart_template_generic","intra_private",2,1,,,base.europe,
"RegimeIntracomunitario","l10n_it_chart_template_generic","intra",3,1,1,,base.europe,"Fatturaemessaaisensidell’art.17,comma2delDPR26/10/1972n.633,l’applicazionedell’IVAèacaricodeldestinatario."
