"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"7402020301","Garantía","74.02.02.03.01","account.data_account_type_revenue","l10n_ec.ec_chart_template","False"
"7402020302","Administración","74.02.02.03.02","account.data_account_type_revenue","l10n_ec.ec_chart_template","False"
"7402020303","Inversión","74.02.02.03.03","account.data_account_type_revenue","l10n_ec.ec_chart_template","False"
"7402020304","Inmobiliario","74.02.02.03.04","account.data_account_type_revenue","l10n_ec.ec_chart_template","False"
"7402020401","Garantía","74.02.02.04.01","account.data_account_type_revenue","l10n_ec.ec_chart_template","False"
"7402020402","Administración","74.02.02.04.02","account.data_account_type_revenue","l10n_ec.ec_chart_template","False"
"7402020403","Inversión","74.02.02.04.03","account.data_account_type_revenue","l10n_ec.ec_chart_template","False"
"7402020404","Inmobiliario","74.02.02.04.04","account.data_account_type_revenue","l10n_ec.ec_chart_template","False"
"74020301","Principal","74.02.03.01","account.data_account_type_revenue","l10n_ec.ec_chart_template","False"
"74020302","Intereses","74.02.03.02","account.data_account_type_revenue","l10n_ec.ec_chart_template","False"
