"id","code","name","tag_ids/id","user_type_id/id","chart_template_id/id","reconcile"
"account_0145","0145","Garagen","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0146","0146","Außenanlagen","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0147","0147","Hof-undWegebefestigungen","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0148","0148","EinrichtungenfürWohnbauten","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0149","0149","GebäudeteilhäuslichesArbeitszimmer","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0150","0150","WohnbautenimBau","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0159","0159","Anzahlg.aufWohnbautena.eig.Grundst","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0160","0160","BautenauffremdenGrundstücken","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0165","0165","Geschäftsbauten","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0170","0170","Fabrikbauten","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0175","0175","Garagen","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0176","0176","Außenanlagen","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0177","0177","Hof-undWegebefestigungen","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0178","0178","EinrichtungFabrik-undGeschäftsbauten","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0179","0179","AndereBauten","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
