"id","chart_template_id/id","name","sequence","auto_apply","vat_required","country_id:id","country_group_id:id"
"fiscal_position_hu_exempt","hungarian_chart_template","Alanyiadómentes",,,,,
"fiscal_position_hu_national","hungarian_chart_template","Magyar",1,1,1,base.hu,
"fiscal_position_hu_eu_private","hungarian_chart_template","EUpartnerprivate",2,1,,,base.europe
"fiscal_position_hu_eu","hungarian_chart_template","EUpartner",3,1,1,,base.europe
"fiscal_position_hu_eu_out","hungarian_chart_template","EU-nkívülipartner",4,1,,,
