id,name,sequence
account_tax_group1,НӨАТногдохбараа,10
account_tax_group2,НӨАТногдохүйлчилгээ,10
account_tax_group3,Экспортынборлуулалт,11
account_tax_group4,"Худалданавсанбараа,үйлчилгээ",12
account_tax_group5,Санхүүгийнтүрээсийнзүйл,13
account_tax_group6,НӨАТ-счөлөөлөгдөх,14
