"id","name","code","user_type_id/id","note","chart_template_id/id","nocreate","reconcile"
"chartgr_12_08","ΤεχνικέςΕγκαταστάσειςσεακίνητατρίτων","12.08","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_09","Λοιπόςμηχανολογικόςεξοπλισμόςσεακίνητατρίτων","12.09","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_10","Μηχανήματαεκτόςεκμετάλλευσης","12.10","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_11","Τεχνικέςεγκαταστάσειςεκτόςεκμετάλλευσης","12.11","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_12","ΦορητάΜηχανήματαχεριούεκτόςεκμετάλλευσης","12.12","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_13","Εργαλείαεκτόςεκμετάλλευσης","12.13","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_14","Καλούπια-Ιδιοκατασκευέςεκτόςεκμετάλλευσης","12.14","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_15","Μηχανολογικάόργαναεκτόςεκμετάλλευσης","12.15","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_16","Λοιπόςμηχανολογικόςεξοπλισμόςεκτόςεκμετάλλευσης","12.16","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_17","Μηχανήματασεακίνητατρίτωνεκτόςεκμετάλλευσης","12.17","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_18","ΤεχνικέςΕγκαταστάσειςσεακίνητατρίτωνεκτόςεκμετάλλευσης","12.18","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_19","Λοιπόςμηχανολογικόςεξοπλισμόςσεακίνητατρίτωνεκτόςεκμετάλλευσης","12.19","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_99_00","Αποσβεσμένα μηχανήματα","12.99.00","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_99_01","Αποσβεσμένεςτεχνικέςεγκαταστάσεις","12.99.01","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_99_02","Αποσβεσμέναφορητάμηχανήματα""χειρός""","12.99.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_00","Αυτοκίνητα-λεωφορεία","13.00","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
